Technique,Estimated Cooling (°C),Estimated Cost (₹),Cost Efficiency
Urban Waterbody Restoration,3.0,1800000,0.16666666666666666
Pond Restoration,2.56,1200000,0.21333333333333335
Urban Forest,2.41,4500000,0.05355555555555556
Sacred Grove,2.21,900000,0.24555555555555555
Neem Plantation,1.43,250000,0.572
Green Roof,1.37,2500000,0.0548
Cool Roof,1.08,1200000,0.09000000000000001
Lime Plaster,0.72,650000,0.11076923076923076
White Lime Roof,0.9,800000,0.1125
Vertical Garden,1.02,2200000,0.046363636363636364
Clay Tile Roof,0.78,850000,0.09176470588235294
Courtyard Houses,0.6,3000000,0.02
