Technique,Category,Average Temperature (°C),Estimated Cooling (°C),Estimated Cost (₹),Feasibility,Cooling Score,Cost Score,Feasibility Score,Final Score
Cool Roof,Modern,40.45,3.69,1200000,High,3,3,4,3.3000000000000003
White Lime Roof,Traditional,41.41,2.73,800000,High,2,4,4,3.0
Clay Tile Roof,Traditional,42.0,2.15,850000,High,2,4,4,3.0
Lime Plaster,Traditional,42.41,1.73,650000,Very High,1,4,5,2.8
Neem Plantation,Traditional,43.39,0.75,250000,High,1,5,4,2.7
Temple Tank Restoration,Traditional,41.95,2.19,1800000,Medium,2,3,3,2.5
Village Pond Restoration,Traditional,42.27,1.87,1200000,High,1,3,4,2.3
Sacred Grove,Traditional,43.33,0.82,900000,Medium,1,4,3,2.2
Green Roof,Modern,43.52,0.62,2500000,Medium,1,2,3,1.7999999999999998
Urban Forest,Modern,43.33,0.81,4500000,Medium,1,2,3,1.7999999999999998
Vertical Garden,Modern,43.66,0.48,2200000,Medium,1,2,3,1.7999999999999998
Courtyard Houses,Traditional,42.8,1.34,3000000,Low,1,2,2,1.5
